objid,ra,dec,redshift,petroMag_r,petroR50_r,expAB_r,lnLStar_r,sfr,metallicity,color_gr,ssfr,log_mass,is_starburst,is_psb,is_quenched
1000000,151.06759082144572,50.20943747576642,0.1246236321277671,27.92742873413001,2.6202356750466635,0.47515041338574204,24.058231250640677,0.19313857121500994,9.13122359788671,0.7698631258639275,-10.255218505290605,10.448357076505616,False,False,False
1000001,232.77723030910258,57.83473255036926,0.1476994089119128,27.11043568296989,2.237812232073653,0.2907430673395782,23.32718528915426,-0.5176895362560062,8.928926142646322,1.2,-10.648557385670413,10.130867849414408,False,False,True
1000002,168.84193449455873,34.14051098224124,0.046353917453057954,26.434617853966106,2.388327630458238,0.6756425108961057,24.232046934906144,-0.7208129968560713,8.994032727995936,1.2,-11.244657265906417,10.523844269050345,False,False,True
1000003,183.66857476614794,40.54445904583468,0.14576130859171677,29.516517065156147,2.2588967107866758,0.46889938433412814,25.239820870314258,0.9744372797686377,9.1987737007553,0.5536808347809937,-9.987077648435374,10.961514928204013,False,False,False
1000004,206.9177219660429,51.81475417375874,0.07037274177081809,25.683271078336972,3.2802814294689338,0.6733351652332855,23.216788913483164,-0.39463913713288135,9.131560689355691,0.695488922399883,-10.477562449771213,10.082923312638332,False,False,False
1000005,164.57523160643632,3.1554799255900146,0.05865263134392564,25.911054679559335,2.161522682947055,0.5930895722145797,23.21680781514418,-1.3591471324482127,9.073329342274892,1.2,-11.442078653973622,10.08293152152541,False,False,True
1000006,132.6666656333226,54.73227800333338,0.017048933775709454,24.64543445196357,1.7935433003629375,0.7275691189813853,25.3045038923655,-0.2863135583849308,9.319912339301744,1.2,-11.275919966138625,10.989606407753694,False,False,True
1000007,198.51862448624647,16.269805253477443,0.017387136100344366,23.70836381902485,1.530008800976362,0.8016016404795414,24.36990983213597,0.438011832734005,9.213260079469308,0.7043301738764102,-10.145705531842449,10.583717364576454,False,False,False
1000008,200.07277998884706,3.4226209014966336,0.10688157583253165,26.114411435203866,2.170337830000184,0.49085144632357597,22.945865587241087,0.3747615555475318,9.061515765816779,0.774503008299146,-9.590501251484993,9.965262807032524,False,False,False
1000009,151.26573780014567,14.256419210445353,0.0741100592207639,26.892830715111923,1.0,0.6737929215386804,24.111013282746885,-0.292912447047164,8.985679453350208,1.2,-10.764192468840147,10.471280021792982,False,False,True
1000010,124.22746918208662,35.18159780229663,0.041713027645054794,24.537182212799813,1.905440660068611,0.5374279251663494,22.95283861288943,-0.004810289535049642,9.08911315989737,0.8581026603095145,-9.973101443128817,9.968291153593768,False,False,False
1000011,199.84237850944518,2.8708199245024435,0.09595584288553256,26.435703845447396,1.8931612332906118,0.858470404131171,22.95017675457193,-0.13055144138607222,9.029079929640464,0.8231072420888793,-10.097686564600941,9.96713512321487,False,False,False
1000012,204.41106629378666,0.045885979349886696,0.04540013655501556,26.24494350397759,1.3373081415315242,0.7110945798604804,23.76493730832673,-0.9197956655319239,8.95222100023827,1.2,-11.24077680131494,10.320981135783017,False,False,True
1000013,123.12778710873177,38.36176038794451,0.09086844560821916,23.611241726981085,1.5242770748795658,0.442278333249375,21.28362266350474,-0.08851304741269728,8.806551830607207,0.86174482088668,-9.331872925083797,9.2433598776711,False,False,False
1000014,203.18199221474615,27.20324084626207,0.06028922457757664,23.81327815035588,2.5674091024139214,0.6184180199278605,21.50048290464721,-0.708805772151476,8.67102050524263,0.9617396690820172,-10.04634685589496,9.337541083743483,False,False,False
